slice,mode,market_regime,strategy_cagr,tqqq_cagr,cagr_gap,strategy_final_equity,tqqq_final_equity,strategy_to_tqqq_final_equity_ratio,strategy_maxdd,tqqq_maxdd,maxdd_improvement,strategy_calmar,tqqq_calmar,calmar_gap,strategy_sharpe_daily_excess,tqqq_sharpe_daily_excess,sharpe_gap,avg_effective_leverage,max_effective_leverage,avg_exposure_gap_vs_tqqq_3x,max_exposure_gap_vs_tqqq_3x,effective_leverage_p25,effective_leverage_p50,effective_leverage_p75,effective_leverage_p95,pct_days_eff_le_0p5x,pct_days_eff_0p5_to_1x,pct_days_eff_1_to_2x,pct_days_eff_2_to_3x,up_day_capture,down_day_capture,strong_up_day_capture_tqqq_gt_5pct,severe_down_day_capture_tqqq_lt_minus_5pct,risk_flag_days,cooldown_days,crash_cap_hit_days,effective_leverage_cap_hit_days,trade_count,turnover_proxy,qqq5_max_weight,qqq5_disabled,pass_cagr,pass_drawdown,pass_calmar,slice_verdict,behavior_read,primary_drag,daily_artifacts_available,notes_trades_available,artifact_limitation
2019_2021,baseline,bull / recovery,0.3528081401839122,1.0673131185498037,-0.7145049783658914,2.4787310222776004,8.860748171400868,0.27974285854077235,-0.2217144918498381,-0.6992207041808496,0.4775062123310115,1.5912723486873408,1.5264323727372768,0.06483997595006397,1.4487692246486408,1.3433526238304612,0.1054166008181796,1.131388683122157,1.7156448904933046,1.868611316877843,1.2843551095066954,,,,,,,,,,,,,,,,,,,0.0,True,False,True,True,PARTIAL,drawdown protection but bull-market undercapture,underexposure in bull markets,False,False,daily equity/weights/notes/trades not retained; top-day capture and note/trade attribution unavailable
2022_2023,baseline,bear / recovery,0.0670321261986102,-0.2228750175328666,0.2899071437314768,1.1376784830595223,0.6057388396255812,1.8781666431737203,-0.3314431087935404,-0.8101575144331943,0.4787144056396539,0.2022432339673873,-0.2751008459000659,0.4773440798674532,0.3038989712947713,0.0392650298967436,0.26463394139802765,1.0426301522982415,1.6500000000000008,1.9573698477017585,1.3499999999999992,,,,,,,,,,,,,,,,,,,0.0,True,True,True,True,PASS,defensive win versus TQQQ,none at slice level,False,False,daily equity/weights/notes/trades not retained; top-day capture and note/trade attribution unavailable
2024_latest,baseline,bull / recovery,0.1789342461095158,0.560749740643294,-0.38181549453377817,1.4914804316270331,2.9479740699526147,0.5059340402037549,-0.2210864192134379,-0.5804007461678513,0.3593143269544134,0.8093407399066506,0.9661423496535716,-0.15680160974692103,0.8056811548406547,0.9980858780112232,-0.19240472317056845,1.1508327785784451,1.5597564367145291,1.8491672214215549,1.4402435632854709,,,,,,,,,,,,,,,,,,,0.0,True,False,True,False,FAIL,drawdown protection but bull-market undercapture,underexposure in bull markets,False,False,daily equity/weights/notes/trades not retained; top-day capture and note/trade attribution unavailable
2019_2021,dl,bull / recovery,0.2093187518243771,1.0673131185498037,-0.8579943667254266,1.7699047884233428,8.860748171400868,0.19974665278671655,-0.2240417564149305,-0.6992207041808496,0.47517894776591907,0.9342845511205238,1.5264323727372768,-0.5921478216167531,1.0675182708478392,1.3433526238304612,-0.27583435298262193,0.6508891931280312,1.791510478141942,2.349110806871969,1.208489521858058,,,,,,,,,,,,,,,,,,,0.0,True,False,True,False,FAIL,drawdown protection but bull-market undercapture,underexposure in bull markets,False,False,daily equity/weights/notes/trades not retained; top-day capture and note/trade attribution unavailable
2022_2023,dl,bear / recovery,-0.1257086008341368,-0.2228750175328666,0.0971664166987298,0.7656089135776418,0.6057388396255812,1.263925744056431,-0.4099643431543802,-0.8101575144331943,0.4001931712788141,-0.3066330107318595,-0.2751008459000659,-0.03153216483179361,-0.6808830560664473,0.0392650298967436,-0.7201480859631909,0.6869951857011036,2.302898318500138,2.313004814298896,0.6971016814998618,,,,,,,,,,,,,,,,,,,0.0,True,True,True,False,FAIL,absolute return win in bear slice but weak risk-adjusted profile,DL overlay or defensive state drag,False,False,daily equity/weights/notes/trades not retained; top-day capture and note/trade attribution unavailable
2024_latest,dl,bull / recovery,0.1614584259844707,0.560749740643294,-0.3992913146588233,1.4383548870004157,2.9479740699526147,0.48791300495514045,-0.2925501054681029,-0.5804007461678513,0.2878506406997484,0.5519000778554657,0.9661423496535716,-0.4142422717981059,0.7087218466632617,0.9980858780112232,-0.2893640313479615,1.0074794476620406,2.4847315938853995,1.9925205523379594,0.5152684061146005,,,,,,,,,,,,,,,,,,,0.0,True,False,True,False,FAIL,drawdown protection but bull-market undercapture,underexposure in bull markets,False,False,daily equity/weights/notes/trades not retained; top-day capture and note/trade attribution unavailable
