slice,mode,strategy_cagr,tqqq_cagr,strategy_maxdd,tqqq_maxdd,strategy_calmar,tqqq_calmar,strategy_sharpe_daily_excess,tqqq_sharpe_daily_excess,strategy_final_equity,tqqq_final_equity,avg_effective_leverage,max_effective_leverage,qqq5_max_weight,pass_cagr,pass_drawdown,pass_calmar,verdict,train_start,train_end,test_start,test_end,input_end_used,qqq5_headline_eligible,qqq5_disabled,qqq5_source
2019_2021,baseline,0.35280814018391227,1.0673131185498037,-0.22171449184983816,-0.6992207041808496,1.5912723486873408,1.5264323727372768,1.4487692246486408,1.3433526238304612,2.4787310222776004,8.860748171400868,1.131388683122157,1.7156448904933046,0.0,False,True,True,PARTIAL,2015-01-01,2018-12-31,2019-01-01,2021-12-31,2021-12-31,False,True,disabled
2022_2023,baseline,0.06703212619861021,-0.22287501753286665,-0.33144310879354044,-0.8101575144331943,0.20224323396738733,-0.27510084590006595,0.30389897129477134,0.0392650298967436,1.1376784830595223,0.6057388396255812,1.0426301522982417,1.6500000000000008,0.0,True,True,True,PASS,2015-01-01,2021-12-31,2022-01-01,2023-12-31,2023-12-29,False,True,disabled
2024_latest,baseline,0.1789342461095158,0.560749740643294,-0.22108641921343797,-0.5804007461678513,0.8093407399066506,0.9661423496535715,0.8056811548406547,0.9980858780112231,1.4914804316270331,2.9479740699526147,1.1508327785784453,1.5597564367145291,0.0,False,True,False,FAIL,2015-01-01,2023-12-31,2024-01-01,2026-06-11,2026-06-10,False,True,disabled
2019_2021,dl,0.2093187518243771,1.0673131185498037,-0.22404175641493052,-0.6992207041808496,0.9342845511205238,1.5264323727372768,1.0675182708478392,1.3433526238304612,1.7699047884233428,8.860748171400868,0.6508891931280312,1.791510478141942,0.0,False,True,False,FAIL,2015-01-01,2018-12-31,2019-01-01,2021-12-31,2021-12-31,False,True,disabled
2022_2023,dl,-0.12570860083413682,-0.22287501753286665,-0.40996434315438024,-0.8101575144331943,-0.30663301073185956,-0.27510084590006595,-0.6808830560664473,0.0392650298967436,0.7656089135776418,0.6057388396255812,0.6869951857011036,2.302898318500138,0.0,True,True,False,FAIL,2015-01-01,2021-12-31,2022-01-01,2023-12-31,2023-12-29,False,True,disabled
2024_latest,dl,0.1614584259844707,0.560749740643294,-0.2925501054681029,-0.5804007461678513,0.5519000778554657,0.9661423496535715,0.7087218466632617,0.9980858780112231,1.4383548870004155,2.9479740699526147,1.0074794476620406,2.4847315938853995,0.0,False,True,False,FAIL,2015-01-01,2023-12-31,2024-01-01,2026-06-11,2026-06-10,False,True,disabled
