slice,strategy,family,train_start,train_end,test_start,test_end,CAGR,MaxDD,Calmar,Sharpe_DailyExcess,CAGR_over_Vol,Final_Equity,AvgEffectiveLeverage,MaxEffectiveLeverage,Benchmark_TQQQ_CAGR,Benchmark_TQQQ_MaxDD,Benchmark_TQQQ_Calmar,Benchmark_TQQQ_Sharpe_DailyExcess,Benchmark_TQQQ_Final_Equity,QQQ5_Used,DL_Used,Bandit_Used,Kelly_Used,strategy_cagr,strategy_maxdd,strategy_calmar,strategy_sharpe_daily_excess,strategy_final_equity,avg_effective_leverage,max_effective_leverage,tqqq_cagr,tqqq_maxdd,tqqq_calmar,tqqq_sharpe_daily_excess,tqqq_final_equity,Rank_Calmar_In_Slice,Rank_Sharpe_In_Slice,Rank_CAGR_In_Slice,Rank_MaxDD_In_Slice
2022_2023,Static 50% TQQQ + 50% QQQ,static,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.08054107685899692,-0.6296048637276761,-0.12792321263552606,0.059257223651864914,-0.15510531384970977,0.8462502357489362,2.0,2.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,False,False,False,False,-0.08054107685899692,-0.6296048637276761,-0.12792321263552606,0.059257223651864914,0.8462502357489362,2.0,2.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,6.0,6.0,6.0,6.0
2022_2023,Static 30% TQQQ + 70% QQQ,static,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.03497381396977739,-0.529815317271743,-0.06601133041957576,0.07419354763691137,-0.08405333213351267,0.931670307282553,1.6,1.5999999999999999,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,False,False,False,False,-0.03497381396977739,-0.529815317271743,-0.06601133041957576,0.07419354763691137,0.931670307282553,1.6,1.5999999999999999,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,5.0,5.0,5.0,4.0
2022_2023,"MA200 QQQ regime, risk-off cash",ma_regime,2015-01-01,2021-12-31,2022-01-01,2023-12-29,0.08369849804855911,-0.5146456983822507,0.16263324129912854,0.3508555362558945,0.2134845654387956,1.1732791847268744,1.4910179640718564,3.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,False,False,False,False,0.08369849804855911,-0.5146456983822507,0.16263324129912854,0.3508555362558945,1.1732791847268744,1.4910179640718564,3.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,2.0,1.0,1.0,3.0
2022_2023,"MA200 QQQ regime, risk-off QQQ",ma_regime,2015-01-01,2021-12-31,2022-01-01,2023-12-29,0.03563909413654365,-0.5639818127236934,0.06319192096714649,0.25978549777669957,0.07878488205424697,1.0721012923501299,1.9940119760479043,3.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,False,False,False,False,0.03563909413654365,-0.5639818127236934,0.06319192096714649,0.25978549777669957,1.0721012923501299,1.9940119760479043,3.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,3.0,3.0,3.0,5.0
2022_2023,"Vol target TQQQ 35%, 20d",vol_target,2015-01-01,2021-12-31,2022-01-01,2023-12-29,0.07821172181240477,-0.45262284671729724,0.1727966725048125,0.33391623293739386,0.21653787374801428,1.1614987961656318,1.5857004549354896,3.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,False,False,False,False,0.07821172181240477,-0.45262284671729724,0.1727966725048125,0.33391623293739386,1.1614987961656318,1.5857004549354896,3.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,1.0,2.0,2.0,1.0
2022_2023,"Vol target TQQQ 35%, 60d",vol_target,2015-01-01,2021-12-31,2022-01-01,2023-12-29,0.01726946402128693,-0.4686450825494798,0.03684977110469011,0.16762379504100616,0.049115908182980485,1.0346262491048062,1.5192687311252586,2.292859824134545,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,False,False,False,False,0.01726946402128693,-0.4686450825494798,0.03684977110469011,0.16762379504100616,1.0346262491048062,1.5192687311252586,2.292859824134545,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,4.0,4.0,4.0,2.0
2022_2023,"QQQ drawdown control 20%, risk-off QQQ",drawdown_control,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.2775925336801167,-0.7168789389163972,-0.38722372580747516,-0.4862198812142922,-0.583377162427624,0.5238966432210449,1.8303393213572854,3.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,False,False,False,False,-0.2775925336801167,-0.7168789389163972,-0.38722372580747516,-0.4862198812142922,0.5238966432210449,1.8303393213572854,3.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,10.0,10.0,10.0,9.0
2024_latest,Static 100% TQQQ,static,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,0.9124295305597065,2.9479747878355016,3.0,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,False,False,False,False,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,3.0,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,6.0,5.0,1.0,10.0
2024_latest,Static 80% TQQQ + 20% cash,static,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.47111248048125676,-0.4923768221552772,0.9568128703115223,0.9899502558394121,0.958218943946258,2.553524294290067,2.4000000000000004,2.4000000000000004,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,False,False,False,False,0.47111248048125676,-0.4923768221552772,0.9568128703115223,0.9899502558394121,2.553524294290067,2.4000000000000004,2.4000000000000004,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,7.0,6.0,4.0,8.0
2024_latest,Static 70% TQQQ + 30% QQQ,static,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.48828663270324557,-0.4904784902971101,0.9955311850830874,1.0130164514206386,0.9920389382403795,2.62652595569779,2.399999999999999,2.3999999999999995,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,False,False,False,False,0.48828663270324557,-0.4904784902971101,0.9955311850830874,1.0130164514206386,2.62652595569779,2.399999999999999,2.3999999999999995,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,5.0,4.0,3.0,7.0
2024_latest,Static 50% TQQQ + 50% QQQ,static,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.4300146518034409,-0.4228539202435775,1.0169342915296578,1.0279067314890515,1.0472004489646582,2.3837212550359776,2.0,2.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,False,False,False,False,0.4300146518034409,-0.4228539202435775,1.0169342915296578,1.0279067314890515,2.3837212550359776,2.0,2.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,4.0,3.0,6.0,6.0
2024_latest,Static 30% TQQQ + 70% QQQ,static,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.36502072039318145,-0.34869293735543394,1.0468256775189688,1.0501666373972218,1.109269243294083,2.1290963058716112,1.5999999999999999,1.5999999999999999,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,False,False,False,False,0.36502072039318145,-0.34869293735543394,1.0468256775189688,1.0501666373972218,2.1290963058716112,1.5999999999999999,1.5999999999999999,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,3.0,1.0,8.0,1.0
2024_latest,"MA200 QQQ regime, risk-off cash",ma_regime,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.45462623619555576,-0.3737195176855276,1.216490481982556,0.9703365290563819,0.9221830033549889,2.484582602267376,2.7205882352941178,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,False,False,False,False,0.45462623619555576,-0.3737195176855276,1.216490481982556,0.9703365290563819,2.484582602267376,2.7205882352941178,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,2.0,7.0,5.0,2.0
2024_latest,"MA200 QQQ regime, risk-off QQQ",ma_regime,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.5165459652892044,-0.4167751532799191,1.2393876199771345,1.0382089726584438,1.016246517551886,2.749290866794344,2.8137254901960786,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,False,False,False,False,0.5165459652892044,-0.4167751532799191,1.2393876199771345,1.0382089726584438,2.749290866794344,2.8137254901960786,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,1.0,2.0,2.0,5.0
2024_latest,"Vol target TQQQ 35%, 20d",vol_target,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.33377696644988575,-0.3832136012847931,0.8709945715153062,0.8920952231459714,0.8674817468159794,2.0126743765776953,2.1028015073913338,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,False,False,False,False,0.33377696644988575,-0.3832136012847931,0.8709945715153062,0.8920952231459714,2.0126743765776953,2.1028015073913338,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,8.0,8.0,9.0,4.0
2024_latest,"Vol target TQQQ 35%, 60d",vol_target,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.2918167414900723,-0.38111307735213396,0.765695954380607,0.8056615441216414,0.754376700282134,1.8623416210689845,2.010778925782737,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,False,False,False,False,0.2918167414900723,-0.38111307735213396,0.765695954380607,0.8056615441216414,1.8623416210689845,2.010778925782737,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,9.0,10.0,10.0,3.0
2024_latest,"QQQ drawdown control 20%, risk-off QQQ",drawdown_control,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.4234609413435009,-0.5637094387522125,0.7512042769424692,0.8816315745769178,0.7582916036191852,2.3572770794496227,2.9379084967320264,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,False,False,False,False,0.4234609413435009,-0.5637094387522125,0.7512042769424692,0.8816315745769178,2.3572770794496227,2.9379084967320264,3.0,0.5607498971425584,-0.580400704732497,0.9661426882674177,0.9980860534134207,2.9479747878355016,10.0,9.0,7.0,9.0
