slice,strategy,family,train_start,train_end,test_start,test_end,CAGR,Calmar,Sharpe_DailyExcess,Final_Equity,Benchmark_TQQQ_CAGR,Benchmark_TQQQ_MaxDD,data_availability,MaxDD,MaxDDDate,LongestUnderwaterDays,AverageUnderwaterDays,TimeToRecoveryAfterMaxDDDays,MaxDDRecovered,UlcerIndex,PainIndex,Worst1MReturn,Worst3MReturn,Worst6MReturn,BestMissed1MReturnVsTQQQ,RecoveryParticipationAfterDrawdown,NewEquityHighs,PctTimeBelowPreviousHigh
2019_2021,TQQQ buy-and-hold,raw_tqqq,2015-01-01,2018-12-31,2019-01-01,2021-12-31,1.067313463271264,1.5264325553393978,1.3433527059860895,8.86075260981544,1.067313463271264,-0.6992208463700841,daily_equity_recomputed,-0.6992208463700841,2020-03-20,98.0,9.53968253968254,77.0,True,0.1791431678907246,0.1115340024672983,-0.6904098292898524,-0.5764544616731586,-0.4575011260570022,0.0,1.0,156.0,0.7939233817701453
2019_2021,70/30 TQQQ/QQQ,static_blend,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8796444141975748,1.4714039891795057,1.3422158947017697,6.6575539932084675,1.067313463271264,-0.6992208463700841,daily_equity_recomputed,-0.5978265796928335,2020-03-20,94.0,8.865671641791044,73.0,True,0.14032761787590398,0.08534037054817775,-0.5884821437737584,-0.4695687878268259,-0.3508728667951798,0.1610986889019459,0.7301665150836486,163.0,0.7846763540290621
2019_2021,50/50 TQQQ/QQQ,static_blend,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7414684162029344,1.4292209808439196,1.3410076640563826,5.293011302938385,1.067313463271264,-0.6992208463700841,daily_equity_recomputed,-0.5187920035746436,2020-03-20,92.0,8.82089552238806,71.0,True,0.11502264585659536,0.0686419582970336,-0.5095360175909023,-0.39281478088304844,-0.2796949788295191,0.26611143132585857,0.5848130174515047,166.0,0.7807133421400264
2019_2021,MA150 risk-off QQQ,ma_regime,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.9227878597996482,1.5727698578332474,1.353503200149886,7.127230853454843,1.067313463271264,-0.6992208463700841,daily_equity_recomputed,-0.5867278389165864,2020-03-16,134.0,10.133333333333333,80.0,True,0.17172993200052575,0.11088269902548632,-0.5711442852731499,-0.414623551281202,-0.26822416449042596,0.4387757598520283,0.6922760738478212,149.0,0.8031704095112285
2022_2023,TQQQ buy-and-hold,raw_tqqq,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.22287506039377725,-0.27510087884369494,0.03926490060723114,0.6057387732064612,-0.22287506039377725,-0.8101575732166562,daily_equity_recomputed,-0.8101575732166562,2022-12-28,500.0,500.0,,False,0.6081550898169407,0.5895794462240291,-0.43879583528443755,-0.6045476983106276,-0.6945012813270723,0.0,1.0,1.0,0.998003992015968
2022_2023,70/30 TQQQ/QQQ,static_blend,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.13333997974613243,-0.18702400905073369,0.04927199550110357,0.7523803092789388,-0.22287506039377725,-0.8101575732166562,daily_equity_recomputed,-0.7129564830896205,2022-12-28,500.0,500.0,,False,0.5007541345556932,0.4798630176833422,-0.3614666432606203,-0.5103720365684028,-0.5944282110929495,0.13391991585059704,0.7399933571454331,1.0,0.998003992015968
2022_2023,50/50 TQQQ/QQQ,static_blend,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.08054105454103355,-0.12792316354212835,0.05925721666012159,0.8462502765863493,-0.22287506039377725,-0.8101575732166562,daily_equity_recomputed,-0.6296049308889187,2022-12-28,500.0,500.0,,False,0.42124138250298143,0.3986458857392983,-0.3067111265784872,-0.439690974014151,-0.5161076929986113,0.2182829930078647,0.5864321903939804,1.0,0.998003992015968
2022_2023,MA150 risk-off QQQ,ma_regime,2015-01-01,2021-12-31,2022-01-01,2023-12-29,0.12019293703061695,0.23602074003844778,0.43251560925416566,1.2531378298425455,-0.22287506039377725,-0.8101575732166562,daily_equity_recomputed,-0.5092473526311184,2022-12-28,362.0,69.57142857142857,115.0,True,0.32432898402136245,0.28973873459987814,-0.22628371241506195,-0.28663418566412124,-0.40233183720386634,0.3507144647749867,0.7104295520701567,13.0,0.9720558882235529
2024_latest,TQQQ buy-and-hold,raw_tqqq,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.5607498449761288,0.9661425405046574,0.9980859472664245,2.9479745485411573,0.5607498449761288,-0.5804007395049857,daily_equity_recomputed,-0.5804007395049857,2025-04-08,161.0,16.78125,86.0,True,0.16901045142024687,0.1220253622642754,-0.38626772022204303,-0.5421338875508507,-0.4561009381514016,0.0,1.0,75.0,0.8774509803921569
2024_latest,70/30 TQQQ/QQQ,static_blend,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.4882865986587219,0.9955310212413537,1.013016358576104,2.6265258097850364,0.5607498449761288,-0.5804007395049857,daily_equity_recomputed,-0.49047853682134845,2025-04-08,148.0,15.142857142857142,73.0,True,0.13237583154810603,0.0925354494344302,-0.31639385026911615,-0.45507985478016855,-0.36922857283761334,0.16315721437345365,0.7565221263714175,82.0,0.8660130718954249
2024_latest,50/50 TQQQ/QQQ,static_blend,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.4300146223165118,1.0169340866371306,1.0279066531843104,2.3837211356659207,0.5607498449761288,-0.5804007395049857,daily_equity_recomputed,-0.4228539764445447,2025-04-08,143.0,13.075,68.0,True,0.10834098838759926,0.074211840392468,-0.26747548747741945,-0.390641776596257,-0.307769807679675,0.2642557678700941,0.6098275220346691,89.0,0.8545751633986928
2024_latest,MA150 risk-off QQQ,ma_regime,2015-01-01,2023-12-31,2024-01-01,2026-06-10,0.4623783018156957,1.144055424298466,0.9767454640797809,2.5168617193873493,0.5607498449761288,-0.5804007395049857,daily_equity_recomputed,-0.4041572567161471,2025-04-08,159.0,20.185185185185187,84.0,True,0.16721211570726066,0.12767918561689853,-0.3502398342808065,-0.3498172514018152,-0.2276480451870735,0.43615535383958237,0.5134185718071769,67.0,0.8905228758169934
2019_2021,current strict complex baseline,complex_baseline,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.3528081401839122,1.5912723486873408,1.4487692246486408,2.4787310222776004,,,summary_only_no_daily_equity,-0.2217144918498381,,,,,,,,,,,,,,
