slice,strategy,family,scenario,cost_bps,execution_delay_days,train_start,train_end,test_start,test_end,CAGR,MaxDD,Calmar,Sharpe_DailyExcess,Final_Equity,Benchmark_TQQQ_CAGR,Benchmark_TQQQ_MaxDD,total_turnover,annualized_turnover,trade_days,avg_turnover_on_trade_days,total_cost_rate,final_cost_drag,MaxEffectiveLeverage,AvgEffectiveLeverage,PeriodicRebalance
2019_2021,70/30 TQQQ/QQQ,static_blend,cost_50bps_delay0d,50.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8796443014111412,-0.597826522259491,1.4714039418768463,1.3422157412709657,6.624265029215127,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.005,0.03328776396590527,2.3999999999999995,2.399999999999999,False
2019_2021,70/30 TQQQ/QQQ,static_blend,stress_10bps_delay1d,10.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8796443014111399,-0.5978265222594907,1.4714039418768448,1.3422157412709648,6.650895240387836,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.001,0.006657552793195798,2.3999999999999995,2.399999999999999,False
2019_2021,70/30 TQQQ/QQQ,static_blend,stress_25bps_delay1d,25.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8796443014111397,-0.597826522259491,1.4714039418768439,1.3422157412709657,6.640908911198063,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0025,0.016643881982968622,2.3999999999999995,2.399999999999999,False
2019_2021,50/50 TQQQ/QQQ,static_blend,base_0bps,0.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7414683180332233,-0.5187919298290832,1.429220994778198,1.34100748187325,5.293010406624662,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0,0.0,2.0,2.0,False
2019_2021,50/50 TQQQ/QQQ,static_blend,cost_5bps_delay0d,5.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7414683180332222,-0.5187919298290833,1.4292209947781955,1.3410074818732494,5.29036390142134,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0005,0.0026465052033213254,2.0,2.0,False
2019_2021,50/50 TQQQ/QQQ,static_blend,cost_10bps_delay0d,10.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7414683180332224,-0.5187919298290834,1.4292209947781955,1.3410074818732487,5.28771739621803,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.001,0.005293010406631993,2.0,2.0,False
2019_2021,50/50 TQQQ/QQQ,static_blend,cost_25bps_delay0d,25.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.741468318033222,-0.5187919298290835,1.4292209947781944,1.3410074818732496,5.279777880608088,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0025,0.013232526016573765,2.0,2.0,False
2019_2021,50/50 TQQQ/QQQ,static_blend,cost_50bps_delay0d,50.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7414683180332229,-0.5187919298290835,1.4292209947781962,1.3410074818732491,5.2665453545915355,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.005,0.026465052033126213,2.0,2.0,False
2019_2021,50/50 TQQQ/QQQ,static_blend,stress_10bps_delay1d,10.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7414683180332224,-0.5187919298290834,1.4292209947781955,1.3410074818732487,5.28771739621803,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.001,0.005293010406631993,2.0,2.0,False
2019_2021,50/50 TQQQ/QQQ,static_blend,stress_25bps_delay1d,25.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.741468318033222,-0.5187919298290835,1.4292209947781944,1.3410074818732496,5.279777880608088,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0025,0.013232526016573765,2.0,2.0,False
2019_2021,MA150 risk-off QQQ,ma_regime,base_0bps,0.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.922786912691866,-0.5867279213973822,1.572768022517333,1.353502456303082,7.127220307546703,1.067313331072202,-0.6992208260196829,19.0,6.324966974900924,10,1.9,0.0,0.0,3.0,2.8494055482166445,False
2019_2021,MA150 risk-off QQQ,ma_regime,cost_5bps_delay0d,5.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.9170319193981065,-0.5879664982302265,1.5596669574854414,1.3486408193516326,7.059799641267035,1.067313331072202,-0.6992208260196829,19.0,6.324966974900924,10,1.9,0.0095,0.06742066627966814,3.0,2.8494055482166445,False
